StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q7,Q8,RandomID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your age in years?,What is your gender? - Selected Choice,What is your gender? - Other (please describe) - Text,Choose one or more races that you consider yourself to be: - Selected Choice,Choose one or more races that you consider yourself to be: - Other - Text,What is the highest level of school you have completed or the highest degree you have received?,Information about income is important for this survey.  Would you please give your best guess? Please indicate the answer that includes your entire annual household income in 2018 before taxes.,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""RandomID""}"
2020-12-04 13:50:34,2020-12-04 13:50:43,IP Address,100,9,True,2020-12-04 13:50:43,R_3iQecOZwuVG816A,anonymous,EN,34,Female,,White,,Some college but no degree,"$15,000 to $24,999",737718
2020-12-04 13:50:59,2020-12-04 13:51:14,IP Address,100,14,True,2020-12-04 13:51:14,R_2uE9JJsRKqXmsfe,anonymous,EN,38,Male,,White,,Some college but no degree,"$25,000 to $49,999",839204
2020-12-04 13:54:51,2020-12-04 13:55:25,IP Address,100,34,True,2020-12-04 13:55:25,R_27x7Q6bAC7i2yI9,anonymous,EN,30,Male,,Black or African American,,Bachelor's degree in college (4-year),"$25,000 to $49,999",455112
2020-12-04 13:56:07,2020-12-04 13:56:31,IP Address,100,24,True,2020-12-04 13:56:32,R_2WAWuouyTxVGDx3,anonymous,EN,33,Female,,White,,Some college but no degree,"$25,000 to $49,999",905175
2020-12-04 13:56:22,2020-12-04 13:56:34,IP Address,100,12,True,2020-12-04 13:56:35,R_3Jg9TJ8hYWDr8cO,anonymous,EN,36,Male,,White,,Bachelor's degree in college (4-year),"$80,000 to $124,999",923517
2020-12-04 13:56:33,2020-12-04 13:57:02,IP Address,100,28,True,2020-12-04 13:57:02,R_3KIXnm8YrSMe9WV,anonymous,EN,44,Male,,Asian,,Doctoral degree,"$180,000 or more",855400
2020-12-04 13:57:21,2020-12-04 13:58:06,IP Address,100,44,True,2020-12-04 13:58:06,R_01Zxf49nVb34Qdb,anonymous,EN,42,Female,,White,,Bachelor's degree in college (4-year),"$50,000 to $79,999",350713
2020-12-04 13:58:03,2020-12-04 13:58:21,IP Address,100,17,True,2020-12-04 13:58:21,R_3fDHRMlVWYZPi8y,anonymous,EN,32,Male,,White,,Some college but no degree,"$15,000 to $24,999",399403
2020-12-04 13:58:01,2020-12-04 13:58:27,IP Address,100,26,True,2020-12-04 13:58:27,R_2QMql8CcZFljiw9,anonymous,EN,36,Male,,White,,Some college but no degree,"$50,000 to $79,999",285669
2020-12-04 13:57:59,2020-12-04 13:58:33,IP Address,100,33,True,2020-12-04 13:58:33,R_2ysgcUHwh8LQn8S,anonymous,EN,37,Male,,"White,Asian,Native Hawaiian or Pacific Islander",,Bachelor's degree in college (4-year),"$180,000 or more",414758
2020-12-04 13:59:18,2020-12-04 13:59:30,IP Address,100,11,True,2020-12-04 13:59:30,R_2645yHDdodhOYKG,anonymous,EN,31,Male,,"White,Black or African American",,Bachelor's degree in college (4-year),"$15,000 to $24,999",713124
2020-12-04 14:00:07,2020-12-04 14:00:29,IP Address,100,21,True,2020-12-04 14:00:29,R_3kgCkMvHXpS004d,anonymous,EN,39,Male,,"White,American Indian or Alaska Native",,High school graduate (high school diploma or equivalent including GED),"$180,000 or more",885297
2020-12-04 14:00:23,2020-12-04 14:00:47,IP Address,100,23,True,2020-12-04 14:00:47,R_3Rycz4vpxYriRMS,anonymous,EN,28,Male,,White,,Master's degree,"$80,000 to $124,999",409027
2020-12-04 14:00:17,2020-12-04 14:00:49,IP Address,100,31,True,2020-12-04 14:00:49,R_3Ev6kLelltKbm1C,anonymous,EN,38,Male,,White,,High school graduate (high school diploma or equivalent including GED),"$15,000 to $24,999",384970
2020-12-04 14:00:29,2020-12-04 14:01:05,IP Address,100,35,True,2020-12-04 14:01:05,R_2SiT2al8nFQqchf,anonymous,EN,21,Male,,Black or African American,,Associate degree in college (2-year),"$50,000 to $79,999",551682
2020-12-04 14:01:05,2020-12-04 14:01:26,IP Address,100,21,True,2020-12-04 14:01:26,R_YX2FtEf1L9nPvJn,anonymous,EN,29,Male,,White,,Bachelor's degree in college (4-year),"Less than $15,000",100052
2020-12-04 14:02:38,2020-12-04 14:02:50,IP Address,100,12,True,2020-12-04 14:02:50,R_3R9N9Dn2pnhEB5w,anonymous,EN,32,Male,,White,,Bachelor's degree in college (4-year),"$15,000 to $24,999",426365
2020-12-04 14:02:45,2020-12-04 14:04:06,IP Address,100,81,True,2020-12-04 14:04:07,R_3fxk27rplGEP2Gj,anonymous,EN,28,Male,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",172864
2020-12-04 14:04:01,2020-12-04 14:04:12,IP Address,100,11,True,2020-12-04 14:04:12,R_3oF7JXVjlM1zICj,anonymous,EN,31,Male,,Asian,,High school graduate (high school diploma or equivalent including GED),"$25,000 to $49,999",339737
2020-12-04 14:03:38,2020-12-04 14:04:15,IP Address,100,37,True,2020-12-04 14:04:15,R_BR1uAAxNBLmIHRf,anonymous,EN,41,Female,,Black or African American,,High school graduate (high school diploma or equivalent including GED),"$50,000 to $79,999",238082
2020-12-04 14:05:05,2020-12-04 14:05:28,IP Address,100,23,True,2020-12-04 14:05:28,R_2BsWvTGLZdMvYfL,anonymous,EN,39,Female,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",596970
2020-12-04 14:05:23,2020-12-04 14:05:37,IP Address,100,13,True,2020-12-04 14:05:37,R_3kmG7K8Rm51FZDW,anonymous,EN,42,Male,,White,,Bachelor's degree in college (4-year),"$125,000 to $179,999",662574
2020-12-04 14:06:23,2020-12-04 14:06:39,IP Address,100,15,True,2020-12-04 14:06:39,R_2TSib9ARZSdQ5kU,anonymous,EN,26,Female,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",144378
2020-12-04 14:06:08,2020-12-04 14:06:42,IP Address,100,33,True,2020-12-04 14:06:42,R_2DP3kvYx5X4nt5J,anonymous,EN,34,Male,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",315788
2020-12-04 14:07:34,2020-12-04 14:08:07,IP Address,100,33,True,2020-12-04 14:08:08,R_2PbN4zxWjLUxQZZ,anonymous,EN,57,Male,,White,,Some college but no degree,"$80,000 to $124,999",743698
2020-12-04 14:08:22,2020-12-04 14:08:49,IP Address,100,26,True,2020-12-04 14:08:49,R_2XpbKd2bZxgwiWm,anonymous,EN,39,Female,,Black or African American,,Bachelor's degree in college (4-year),"$80,000 to $124,999",759302
2020-12-04 14:08:58,2020-12-04 14:09:20,IP Address,100,22,True,2020-12-04 14:09:21,R_25GcvteFnloSYN5,anonymous,EN,47,Female,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",873573
2020-12-04 14:10:40,2020-12-04 14:11:10,IP Address,100,30,True,2020-12-04 14:11:10,R_1mq4JdGNRcDFFLw,anonymous,EN,47,Male,,White,,Bachelor's degree in college (4-year),"Less than $15,000",414188
2020-12-04 14:11:31,2020-12-04 14:11:53,IP Address,100,21,True,2020-12-04 14:11:54,R_239JTiXdj9eQdFZ,anonymous,EN,28,Male,,White,,Bachelor's degree in college (4-year),"Less than $15,000",766020
2020-12-04 14:11:31,2020-12-04 14:12:50,IP Address,100,78,True,2020-12-04 14:12:50,R_2qxjeEWLnEhY0AI,anonymous,EN,50,Male,,Asian,,Bachelor's degree in college (4-year),"$25,000 to $49,999",724294
2020-12-04 14:13:27,2020-12-04 14:14:11,IP Address,100,44,True,2020-12-04 14:14:11,R_43mB6YiItuUyrBv,anonymous,EN,23,Female,,Black or African American,,Bachelor's degree in college (4-year),"$25,000 to $49,999",905632
2020-12-04 14:14:50,2020-12-04 14:15:14,IP Address,100,23,True,2020-12-04 14:15:14,R_ue2G1gkGWh82dCV,anonymous,EN,46,Male,,White,,Bachelor's degree in college (4-year),"$50,000 to $79,999",168039
2020-12-04 14:15:42,2020-12-04 14:16:19,IP Address,100,36,True,2020-12-04 14:16:19,R_2Vdsv1TXVQAUU5Q,anonymous,EN,31,Male,,White,,Some college but no degree,"$25,000 to $49,999",136064
2020-12-04 14:19:24,2020-12-04 14:19:49,IP Address,100,24,True,2020-12-04 14:19:49,R_1nU65OF2pESaVVo,anonymous,EN,28,Female,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",209667
2020-12-04 14:21:51,2020-12-04 14:22:21,IP Address,100,29,True,2020-12-04 14:22:21,R_31FRuwNEf7QGdnF,anonymous,EN,38,Female,,White,,High school graduate (high school diploma or equivalent including GED),"Less than $15,000",117670
2020-12-04 14:22:14,2020-12-04 14:22:49,IP Address,100,34,True,2020-12-04 14:22:49,R_3UvzIKKp0gV6vNT,anonymous,EN,49,Female,,White,,Less than high school degree,"$50,000 to $79,999",377544
2020-12-04 14:22:22,2020-12-04 14:22:58,IP Address,100,35,True,2020-12-04 14:22:58,R_3qR2EX6uCQ4h8Sd,anonymous,EN,43,Female,,White,,High school graduate (high school diploma or equivalent including GED),"$50,000 to $79,999",735955
2020-12-04 14:22:37,2020-12-04 14:23:09,IP Address,100,31,True,2020-12-04 14:23:09,R_1FRDyjlugNorK8I,anonymous,EN,69,Female,,White,,Bachelor's degree in college (4-year),"$15,000 to $24,999",391730
2020-12-04 14:22:52,2020-12-04 14:23:19,IP Address,100,26,True,2020-12-04 14:23:19,R_9AhcxXKEoCKNQgF,anonymous,EN,32,Female,,White,,Some college but no degree,"$15,000 to $24,999",681572
2020-12-04 14:22:24,2020-12-04 14:23:20,IP Address,100,55,True,2020-12-04 14:23:20,R_32JewywQCN2Q7h8,anonymous,EN,37,Female,,White,,Bachelor's degree in college (4-year),"$80,000 to $124,999",335891
2020-12-04 14:26:40,2020-12-04 14:26:57,IP Address,100,16,True,2020-12-04 14:26:57,R_2rvXls7xyJfrbcz,anonymous,EN,43,Male,,White,,Some college but no degree,"$50,000 to $79,999",715401
2020-12-04 14:28:32,2020-12-04 14:29:00,IP Address,100,27,True,2020-12-04 14:29:00,R_Y9VnLHA62SdnxBv,anonymous,EN,24,Female,,White,,Bachelor's degree in college (4-year),"$50,000 to $79,999",158721
2020-12-04 14:28:31,2020-12-04 14:29:50,IP Address,100,79,True,2020-12-04 14:29:51,R_3O2MkXywwXJLogZ,anonymous,EN,65,Male,,White,,Some college but no degree,"$25,000 to $49,999",775897
2020-12-04 14:33:06,2020-12-04 14:34:14,IP Address,100,68,True,2020-12-04 14:34:14,R_2isjFZtj8ddrjq1,anonymous,EN,47,Female,,White,,Some college but no degree,"$50,000 to $79,999",574618
2020-12-04 14:33:33,2020-12-04 14:34:55,IP Address,100,81,True,2020-12-04 14:34:55,R_2t5T8ipdYP7CnDC,anonymous,EN,30,Male,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",803402
2020-12-04 14:32:36,2020-12-04 14:35:25,IP Address,100,169,True,2020-12-04 14:35:25,R_YYWOqrJtqZo8ri9,anonymous,EN,30,Male,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",434279
2020-12-04 14:30:36,2020-12-04 14:36:25,IP Address,100,349,True,2020-12-04 14:36:26,R_1FQxX036rXvjhhF,anonymous,EN,35,Female,,White,,Master's degree,"$80,000 to $124,999",578340
2020-12-04 14:36:28,2020-12-04 14:37:08,IP Address,100,39,True,2020-12-04 14:37:08,R_pGAOMXSfMq5MKf7,anonymous,EN,26,Male,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",333831
2020-12-04 14:40:03,2020-12-04 14:40:20,IP Address,100,17,True,2020-12-04 14:40:20,R_1hMweajJKcsiqg1,anonymous,EN,24,Female,,White,,Bachelor's degree in college (4-year),"$125,000 to $179,999",120399
2020-12-04 14:46:04,2020-12-04 14:47:38,IP Address,100,94,True,2020-12-04 14:47:38,R_Xh5VOITTTfP4ymB,anonymous,EN,29,Female,,White,,Some college but no degree,"$50,000 to $79,999",642604
2020-12-04 14:48:00,2020-12-04 14:48:19,IP Address,100,19,True,2020-12-04 14:48:19,R_3GfHhMECs58z6AU,anonymous,EN,32,Prefer not to disclose,,"White,Black or African American",,Some college but no degree,"$50,000 to $79,999",540819
2020-12-04 14:48:37,2020-12-04 14:49:01,IP Address,100,23,True,2020-12-04 14:49:01,R_1JXSZYSkS8aQjNS,anonymous,EN,39,Male,,White,,Master's degree,"$25,000 to $49,999",147145
2020-12-04 14:48:50,2020-12-04 14:49:51,IP Address,100,61,True,2020-12-04 14:49:52,R_21FzGAY2qGZ478m,anonymous,EN,24,Female,,Asian,,"Professional degree (JD, MD)","$50,000 to $79,999",974246
2020-12-04 14:56:39,2020-12-04 14:57:10,IP Address,100,30,True,2020-12-04 14:57:10,R_0P7qQfJFk8lKVWx,anonymous,EN,30,Female,,White,,Bachelor's degree in college (4-year),"$15,000 to $24,999",344110
2020-12-04 14:58:35,2020-12-04 14:58:59,IP Address,100,23,True,2020-12-04 14:58:59,R_3jTYaOgcBVjYdCx,anonymous,EN,46,Female,,White,,Some college but no degree,"$25,000 to $49,999",165571
2020-12-04 14:59:34,2020-12-04 15:00:38,IP Address,100,64,True,2020-12-04 15:00:38,R_1lhjwkqZC9lHiVj,anonymous,EN,32,Female,,Black or African American,,Master's degree,"$80,000 to $124,999",820904
2020-12-04 15:02:00,2020-12-04 15:02:30,IP Address,100,29,True,2020-12-04 15:02:30,R_2zwOrcqkU3eaX6D,anonymous,EN,46,Female,,White,,Bachelor's degree in college (4-year),"$80,000 to $124,999",115400
2020-12-04 14:40:09,2020-12-04 15:04:32,IP Address,100,1463,True,2020-12-04 15:04:32,R_3LiEshgNbbTPafk,anonymous,EN,61,Female,,White,,Bachelor's degree in college (4-year),"$15,000 to $24,999",816034
2020-12-04 15:06:53,2020-12-04 15:07:31,IP Address,100,37,True,2020-12-04 15:07:31,R_BWJn5O1RVwJzHlT,anonymous,EN,66,Female,,White,,Some college but no degree,"$50,000 to $79,999",946764
2020-12-04 15:25:33,2020-12-04 15:26:13,IP Address,100,40,True,2020-12-04 15:26:14,R_27JTx9SwMIzE8yc,anonymous,EN,23,Female,,White,,Bachelor's degree in college (4-year),"$50,000 to $79,999",868183
2020-12-04 15:31:57,2020-12-04 15:32:18,IP Address,100,20,True,2020-12-04 15:32:18,R_3MMA018a3Kdf0IX,anonymous,EN,32,Male,,White,,Bachelor's degree in college (4-year),"$25,000 to $49,999",595062
2020-12-04 15:40:19,2020-12-04 15:40:55,IP Address,100,35,True,2020-12-04 15:40:55,R_1o4S5Wpt6HALyLr,anonymous,EN,30,Male,,White,,Master's degree,"$80,000 to $124,999",159865
2020-12-04 15:46:09,2020-12-04 15:46:22,IP Address,100,12,True,2020-12-04 15:46:22,R_plVpifbzo4mbVLz,anonymous,EN,28,Male,,Black or African American,,Bachelor's degree in college (4-year),"$80,000 to $124,999",276671
2020-12-04 16:06:28,2020-12-04 16:06:39,IP Address,100,10,True,2020-12-04 16:06:39,R_30djTiP10QBBVod,anonymous,EN,25,Female,,White,,Some college but no degree,"$50,000 to $79,999",588354
2020-12-04 16:21:24,2020-12-04 16:21:46,IP Address,100,21,True,2020-12-04 16:21:46,R_r14SFezIjgTh6rD,anonymous,EN,42,Male,,White,,Master's degree,"$125,000 to $179,999",347317
2020-12-04 16:28:31,2020-12-04 16:29:05,IP Address,100,33,True,2020-12-04 16:29:05,R_1Kyc0SrxiRJwYqp,anonymous,EN,32,Male,,White,,Bachelor's degree in college (4-year),"$50,000 to $79,999",709071
2020-12-04 17:01:56,2020-12-04 17:02:44,IP Address,100,48,True,2020-12-04 17:02:45,R_3IXnMoP1axuF8qK,anonymous,EN,29,Male,,White,,Master's degree,"$80,000 to $124,999",145237
2020-12-04 17:25:26,2020-12-04 17:25:55,IP Address,100,29,True,2020-12-04 17:25:56,R_3NHYism1rmhCOTs,anonymous,EN,38,Female,,White,,Bachelor's degree in college (4-year),"$50,000 to $79,999",407251
2020-12-04 18:09:23,2020-12-04 18:10:28,IP Address,100,65,True,2020-12-04 18:10:28,R_3DbDl7Alpg46hLE,anonymous,EN,51,Male,,White,,Some college but no degree,"$25,000 to $49,999",376454
